,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
0,seddon,nz,12.0,65.0,-41.67,174.07,58.33,59.0,5.01,1554174282
1,balabac,ph,36.0,97.0,7.99,117.06,82.96,82.96,10.45,1554174805
4,busselton,au,0.0,32.0,-33.64,115.35,72.23,75.0,5.53,1554174724
7,laiyang,cn,76.0,17.0,36.98,120.7,61.0,61.0,1.99,1554174768
9,saint-joseph,re,0.0,69.0,-21.37,55.62,72.86,77.0,5.82,1554174129
11,castro,cl,90.0,100.0,-42.48,-73.76,53.6,53.6,5.82,1554170400
12,kutum,sd,0.0,38.0,14.2,24.66,53.53,53.53,5.75,1554174667
13,carnarvon,au,48.0,74.0,-24.87,113.63,82.4,82.4,14.99,1554170400
14,viedma,ar,32.0,58.0,-40.81,-62.99,75.31,75.31,14.03,1554174668
16,gushi,cn,92.0,59.0,32.17,115.65,62.53,62.53,10.67,1554174668
17,mitsamiouli,km,36.0,100.0,-11.38,43.28,80.8,80.8,4.97,1554174668
18,clyde river,ca,90.0,84.0,70.47,-68.59,-0.41,-0.41,11.41,1554170400
19,jiuquan,cn,12.0,72.0,39.73,98.49,44.35,44.35,2.28,1554174935
20,port alfred,za,92.0,94.0,-33.59,26.89,57.0,57.0,5.97,1554174598
21,hobart,au,75.0,42.0,-42.88,147.33,65.08,66.99,3.36,1554174138
23,tigil,ru,68.0,90.0,57.8,158.67,35.44,35.44,8.99,1554174669
24,lorengau,pg,56.0,94.0,-2.02,147.27,84.31,84.31,12.46,1554174669
25,karaidel,ru,68.0,90.0,55.83,56.91,31.39,31.39,2.95,1554174669
26,yellowknife,ca,40.0,57.0,62.45,-114.38,15.57,17.6,24.16,1554174724
27,skjervoy,no,88.0,100.0,70.03,20.97,31.93,31.93,7.76,1554174669
28,punta arenas,cl,90.0,93.0,-53.16,-70.91,50.0,50.0,9.17,1554174745
29,chuy,uy,20.0,94.0,-33.69,-53.46,65.32,65.32,7.65,1554174936
30,tazovskiy,ru,76.0,96.0,67.47,78.7,26.08,26.08,9.78,1554174936
31,katsuura,jp,75.0,40.0,33.93,134.5,50.16,51.8,17.22,1554174256
32,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
33,avarua,ck,12.0,69.0,-21.21,-159.78,80.6,80.6,13.87,1554172200
34,oranjemund,na,0.0,90.0,-28.55,16.43,59.11,59.11,24.32,1554174936
35,new norfolk,au,75.0,42.0,-42.78,147.06,65.34,66.99,3.36,1554174680
36,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
38,mbanza-ngungu,cd,12.0,92.0,-5.25,14.87,69.82,69.82,2.28,1554175010
39,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
40,misasi,tz,75.0,83.0,-3.01,33.09,69.8,69.8,10.29,1554170400
41,porto walter,br,24.0,85.0,-8.27,-72.74,78.19,78.19,3.06,1554174670
42,saint-pierre,re,0.0,69.0,-21.34,55.48,72.84,77.0,5.82,1554174129
43,puerto escondido,mx,5.0,74.0,15.86,-97.07,80.6,80.6,6.2,1554169200
44,busselton,au,0.0,32.0,-33.64,115.35,72.23,75.0,5.53,1554174724
45,fortuna,us,40.0,100.0,40.6,-124.16,53.96,57.0,4.7,1554174807
46,chuy,uy,20.0,94.0,-33.69,-53.46,65.32,65.32,7.65,1554174661
47,klaksvik,fo,90.0,100.0,62.23,-6.59,32.0,32.0,1.12,1554171600
48,maceio,br,0.0,94.0,-9.67,-35.74,75.2,75.2,4.7,1554174000
49,hobart,au,75.0,42.0,-42.88,147.33,65.08,66.99,3.36,1554174138
50,kapaa,us,90.0,65.0,22.08,-159.32,73.49,78.8,9.17,1554174507
52,porto novo,cv,40.0,60.0,17.02,-25.06,71.6,71.6,13.87,1554170400
54,atuona,pf,8.0,100.0,-9.8,-139.03,82.51,82.51,9.89,1554174831
55,bend,us,90.0,87.0,44.06,-121.32,45.68,50.0,5.82,1554174669
56,bredasdorp,za,68.0,89.0,-34.53,20.04,54.0,54.0,1.01,1554174087
57,saskylakh,ru,20.0,90.0,71.97,114.09,25.81,25.81,10.67,1554174676
58,busselton,au,0.0,32.0,-33.64,115.35,72.23,75.0,5.53,1554174724
59,puerto ayora,ec,32.0,93.0,-0.74,-90.35,79.0,79.0,5.41,1554174042
60,nome,us,1.0,81.0,30.04,-94.42,45.57,50.0,4.7,1554174937
61,plaridel,ph,0.0,90.0,13.96,122.02,82.42,82.42,9.33,1554174672
62,jega,ng,0.0,47.0,12.22,4.38,72.43,72.43,3.74,1554174672
64,victoria,sc,20.0,83.0,-4.62,55.45,80.6,80.6,3.36,1554170400
65,machico,pt,40.0,62.0,32.7,-16.77,56.23,59.0,5.82,1554174485
66,punta arenas,cl,90.0,93.0,-53.16,-70.91,50.0,50.0,9.17,1554174745
67,butaritari,ki,68.0,100.0,3.07,172.79,81.97,81.97,9.22,1554174825
68,punta arenas,cl,90.0,93.0,-53.16,-70.91,50.0,50.0,9.17,1554174745
69,hilo,us,90.0,65.0,19.71,-155.08,73.38,78.8,4.7,1554174808
70,mangan,in,24.0,66.0,27.5,88.54,32.29,32.29,1.39,1554174673
71,surgut,ru,75.0,98.0,61.25,73.4,32.0,32.0,26.84,1554172200
72,khatanga,ru,88.0,100.0,71.98,102.47,31.03,31.03,11.12,1554174810
73,vestmannaeyjar,is,0.0,100.0,63.44,-20.27,30.94,30.94,19.51,1554174673
74,mar del plata,ar,0.0,54.0,-46.43,-67.52,65.32,65.32,27.0,1554174673
75,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
76,porto nacional,br,12.0,95.0,-10.7,-48.41,75.04,75.04,3.74,1554174673
77,bluff,nz,76.0,69.0,-46.6,168.33,57.0,57.0,5.01,1554174605
78,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
79,albany,au,75.0,68.0,-35.02,117.88,64.4,64.4,9.17,1554170400
80,cape town,za,0.0,67.0,-33.93,18.42,57.7,60.01,14.99,1554174491
81,tuktoyaktuk,ca,40.0,84.0,69.44,-133.03,6.8,6.8,9.17,1554170400
82,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
83,provideniya,ru,90.0,74.0,64.42,-173.23,33.8,33.8,6.71,1554172200
84,yellowknife,ca,40.0,57.0,62.45,-114.38,16.18,17.6,24.16,1554174124
85,batouri,cm,76.0,73.0,4.44,14.36,76.66,76.66,12.12,1554174674
86,vaini,to,20.0,66.0,-21.2,-175.2,84.2,84.2,10.29,1554170400
87,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
88,upernavik,gl,48.0,100.0,72.79,-56.15,13.93,13.93,6.42,1554174816
89,fairbanks,us,1.0,43.0,64.84,-147.72,49.82,51.8,3.36,1554174434
90,bredasdorp,za,68.0,89.0,-34.53,20.04,54.0,54.0,1.01,1554174087
91,inirida,co,0.0,95.0,3.87,-67.92,74.5,74.5,2.17,1554174940
92,te anau,nz,80.0,66.0,-45.41,167.72,50.38,50.38,3.51,1554174674
93,elko,us,90.0,37.0,40.83,-115.76,49.28,55.4,2.73,1554174205
94,dikson,ru,76.0,97.0,73.51,80.55,25.81,25.81,25.21,1554174811
95,kindu,cd,44.0,91.0,-2.95,25.92,72.79,72.79,2.17,1554174674
96,atuona,pf,8.0,100.0,-9.8,-139.03,82.51,82.51,9.89,1554174831
98,cape town,za,0.0,67.0,-33.93,18.42,57.7,60.01,14.99,1554174491
99,victoria,sc,20.0,83.0,-4.62,55.45,80.6,80.6,3.36,1554170400
101,albany,au,75.0,68.0,-35.02,117.88,64.4,64.4,9.17,1554170400
102,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
103,yellowknife,ca,40.0,57.0,62.45,-114.38,16.18,17.6,24.16,1554174124
105,padampur,in,0.0,46.0,29.71,73.62,78.55,78.55,3.18,1554174675
106,dinghai,cn,90.0,55.0,26.28,119.79,60.8,60.8,8.95,1554170400
108,dikson,ru,76.0,97.0,73.51,80.55,25.81,25.81,25.21,1554174811
109,dunedin,nz,44.0,69.0,-45.87,170.5,54.0,54.0,15.99,1554174217
111,punta arenas,cl,90.0,93.0,-53.16,-70.91,50.0,50.0,9.17,1554174745
112,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
115,east london,za,92.0,100.0,-33.02,27.91,63.52,63.52,11.9,1554174611
117,provideniya,ru,90.0,74.0,64.42,-173.23,33.8,33.8,6.71,1554172200
118,hilo,us,90.0,65.0,19.71,-155.08,73.38,78.8,4.7,1554174808
119,rio gallegos,ar,90.0,93.0,-51.62,-69.22,53.6,53.6,10.0,1554170400
120,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
122,umm lajj,sa,0.0,100.0,25.02,37.27,53.98,53.98,4.41,1554174941
123,xiaoweizhai,cn,92.0,91.0,26.23,107.51,63.07,63.07,10.67,1554174676
